date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:58	179784/179784	---M-Z	200	added ('OK')	text/html	etag:W/%22c386ee2b9af07cb5b902e3745a747472%22	https://pocomart.mysapo.net/cau-hoi-thuong-gap	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/cau-hoi-thuong-gap.html	(from https://pocomart.mysapo.net/)
16:46:58	179122/179122	---M-Z	200	added ('OK')	text/html	etag:W/%223ed167c6a89bb3e079e97c766f279a26%22	https://pocomart.mysapo.net/tuyen-dung	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/tuyen-dung.html	(from https://pocomart.mysapo.net/)
16:46:58	179843/179843	---M-Z	200	added ('OK')	text/html	etag:W/%22185c9be86e6164c20381a65d73fd63f0%22	https://pocomart.mysapo.net/lien-he	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/lien-he.html	(from https://pocomart.mysapo.net/)
16:47:04	276202/276202	---M-Z	200	added ('OK')	text/html	etag:W/%221641bf484111c2d6bc457ae9098ff40a%22	https://pocomart.mysapo.net/samsung-galaxy-note-21	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/samsung-galaxy-note-21.html	(from https://pocomart.mysapo.net/)
16:47:07	16964/16964	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Nov%202023%2015:53:26%20GMT	http://bizweb.dktcdn.net/thumb/compact/100/429/689/products/dien-thoai-samsung-galaxy-s21-ultra-5g-256g-g998b-bac-h0l175-b6ac0e17-afc8-42a9-bb4f-aecaf81ad7e2.jpg?v=1623565400993	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/compact/100/429/689/products/dien-thoai-samsung-galaxy-s21-ultra-5g-256g-g998b-bac-h0l175-b6ac0e17-afc8-42a9-bb4f-aecaf81ad7e2d72a.jpg	(from https://pocomart.mysapo.net/)
16:47:08	32053/32053	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Nov%202023%2003:57:14%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/429/689/products/dien-thoai-samsung-galaxy-s21-ultra-5g-256g-g998b-bac-h0l175-b6ac0e17-afc8-42a9-bb4f-aecaf81ad7e2.jpg?v=1623565400993	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/medium/100/429/689/products/dien-thoai-samsung-galaxy-s21-ultra-5g-256g-g998b-bac-h0l175-b6ac0e17-afc8-42a9-bb4f-aecaf81ad7e2d72a.jpg	(from https://pocomart.mysapo.net/)
16:47:12	278340/278340	---M-Z	200	added ('OK')	text/html	etag:W/%22f9fd05a216da6b3b62349597265d0e91%22	https://pocomart.mysapo.net/apple-iphone-12-mini-new	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/apple-iphone-12-mini-new.html	(from https://pocomart.mysapo.net/)
16:47:12	105437/105437	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Dec%202023%2010:04:50%20GMT	http://bizweb.dktcdn.net/100/429/689/themes/869367/assets/slider_1.jpg?1697597694844	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/100/429/689/themes/869367/assets/slider_12c6f.jpg	(from https://pocomart.mysapo.net/)
16:47:14	85634/85634	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Nov%202023%2003:57:13%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/429/689/themes/869367/assets/slider_1.jpg?1697597694844	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/grande/100/429/689/themes/869367/assets/slider_12c6f.jpg	(from https://pocomart.mysapo.net/)
16:47:16	22199/22199	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Nov%202023%2003:57:28%20GMT	http://bizweb.dktcdn.net/thumb/compact/100/429/689/products/apple-iphone-12-mini-2-0340d148-dd79-40b3-b8ad-95ed589c7b5a.png?v=1623564588267	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/compact/100/429/689/products/apple-iphone-12-mini-2-0340d148-dd79-40b3-b8ad-95ed589c7b5ab4f9.png	(from https://pocomart.mysapo.net/)
16:47:19	41556/41556	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2008:07:22%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/429/689/products/apple-iphone-12-mini-2-0340d148-dd79-40b3-b8ad-95ed589c7b5a.png?v=1623564588267	E:/xampp/htdocs/LapTop_Tuan/bizweb.dktcdn.net/thumb/medium/100/429/689/products/apple-iphone-12-mini-2-0340d148-dd79-40b3-b8ad-95ed589c7b5ab4f9.png	(from https://pocomart.mysapo.net/)
16:47:20	286000/286000	---M-Z	200	added ('OK')	text/html	etag:W/%227b5e81d429368aac58f6961780d39083%22	https://pocomart.mysapo.net/iphone-12-pro-max-like-new	E:/xampp/htdocs/LapTop_Tuan/pocomart.mysapo.net/iphone-12-pro-max-like-new.html	(from https://pocomart.mysapo.net/)
